metric,n,mean,stdev,rho_1,pass_thr,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30,rho_31,rho_32,rho_33,rho_34,rho_35,rho_36,rho_37,rho_38,rho_39,rho_40,rho_41,rho_42,rho_43,rho_44,rho_45,rho_46,rho_47,rho_48,rho_49,rho_50
mit_rt,811,0.0024157902689923775,0.00022009099592886953,-0.0017214128105132926,1,-0.019031507650151196,-0.05245544368428115,-0.060629526187661674,-0.050957340628414435,-0.11141182980541627,-0.09727026829465248,-0.0584941485987467,-0.10085967951888455,-0.10694284454112418,-0.07571530196748832,-0.06130353054841482,-0.0504923091422557,-0.09440366265258529,-0.09140036740007387,-0.032789203577551954,-0.07140668072187056,-0.06542109048848148,-0.12425830327127585,-0.16019825622036216,-0.019498770048880874,-0.1473522073961048,-0.09519856643496909,0.002762804837658957,-0.024986052749155906,-0.03722879126448824,-0.020070487978394346,0.05396617935080286,0.039844388477798795,-0.013825750507614979,-0.023286787792563712,-0.01797846696257806,0.015544631393366124,-0.017917815545914484,-0.08148314481534621,-0.030550326166571003,-0.0327242295374516,-0.12781419936993818,-0.10195021946986496,-0.11476938900513317,-0.08753841494979335,-0.12901575934149329,-0.06841702605175125,-0.06552918288733962,-0.07705842747643467,-0.0837156917383786,-0.03165794612181973,-0.06957428038333043,-0.10364739631511068,-0.07140273878405179
mit_util,811,0.30375224799297995,0.0352359719908075,0.03968267672768666,1,-0.035430521053912666,-0.054431603480244714,-0.050096555461449054,-0.0814227871570417,-0.0369907569223802,0.01952061761576266,-0.04224257519828639,-0.004307842169126967,-0.007942518353192093,-0.06478509038071897,-0.09263018147633588,-0.046207493437638095,-0.04770723250312663,-0.02790878351664127,-0.07099713460429585,-0.048576026129842444,-0.07678605217953241,-0.11422774674491472,-0.13105990214915433,-0.14337030732084438,-0.14225204670684813,-0.20179134643230223,-0.10286365308647005,-0.12280729052094426,-0.14505543133101642,-0.11629255514800338,-0.06274766064574121,-0.03124491823328174,-0.09116053673864359,-0.018146762871054888,-0.06224587587575512,-0.056201324157239066,-0.09811933065549759,-0.08594815572582924,-0.10791666574614932,-0.08045936324640379,-0.05036493166040673,-0.12074800131133616,-0.08773981759642893,-0.03513010752369378,0.002335266922135013,0.029410577243769817,0.05583835850018552,-0.0016761167430262216,-0.0002939833425024116,-0.021376315844418473,-0.012250722205791091,-0.02142194298383798,-0.07572367646636233
mit_thr,811,276.30994342969296,30.74519498757346,0.0538923382539086,1,-0.011831088573073013,-0.03820997172703831,-0.07531511075969749,-0.09939802598835172,-0.03425387381441806,0.025211643368696645,-0.04273248490396984,-0.013570398670022474,-0.032753236857552714,-0.07239126436553764,-0.0851356380748694,-0.04007534979895227,-0.06447661693059956,-0.03702376214792385,-0.08513928576573383,-0.059328708232828035,-0.08478924843689951,-0.1099731825976421,-0.12362876222348203,-0.12526720349917286,-0.1276982529580992,-0.20741788329877758,-0.10965240129669358,-0.13736320510616012,-0.14016935679431197,-0.15257005899986625,-0.09254739793442841,-0.03621528557894123,-0.09042931615104062,-0.01608014221592455,-0.06842834189838626,-0.04754771398923339,-0.11709802597253156,-0.10491065601446413,-0.1244027301092863,-0.06641685665879357,-0.05897594022072647,-0.12841774891047622,-0.12080787010622863,-0.05062868932148479,-0.011559747385980238,0.01895909421462367,0.03543122403583828,0.007120662837673245,0.0021587210506041543,-0.05263314638264859,-0.03199252098727508,-0.06307506860866163,-0.06490919011031483
