metric,n,mean,stdev,rho_1,pass_thr,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30,rho_31,rho_32,rho_33,rho_34,rho_35,rho_36,rho_37,rho_38,rho_39,rho_40,rho_41,rho_42,rho_43,rho_44,rho_45,rho_46,rho_47,rho_48,rho_49,rho_50
mit_rt,3891,0.002116308781056668,0.00011841679864727623,0.0024659649263586133,1,-0.022854338839598073,-0.024991869229818966,0.0028987447628262327,-0.037622898319568394,-0.008004739824380543,0.030886515585381046,-0.00301906090182646,-0.05610889279434739,-0.017392964388494254,0.0037116688815548938,-0.025331153150038404,0.024435004656864465,-0.010947383464795785,-0.014513736767399917,-0.0032922966433389434,-0.0034366618812755136,-0.028235999780184432,-0.04260621123169342,-0.013944378315946209,-0.059326940918176106,-0.04722590355502716,-0.025180327985344295,-0.022017698212402313,-0.044587639742534484,-0.08417963150285875,-0.03319535614928246,-0.020732551733424733,0.011204523837794324,-0.008105267799328507,0.013456604900760782,-0.0256579549865206,0.003829068072886813,-0.0012144785916583924,0.007412976023129752,0.00576162211218957,0.036365606623274066,-0.019324000403495634,0.028945278195151268,0.009386670413872495,0.006063844442682566,0.031515290535917756,0.013088858146621883,-0.0013099888489731446,0.019001033333645705,0.04865197647994636,0.024808510840431845,0.056440021591638766,0.013593535693357946,0.019342102717799476
mit_util,3891,0.2898650082201116,0.033187957402845254,0.009921844728063066,1,0.0005457622824074571,-0.007933219071961602,-0.010178545796828142,0.00751060425126407,0.04134190968767313,-0.020125852913982056,-0.009387657859732173,0.0006613027818840933,0.0201541522563689,0.014035528979974945,0.0036231458551319873,0.03716943715206512,0.004559150927573712,-0.004016675643731357,0.010159607685067547,-0.0044480393818273675,-0.003600120782943981,0.01054735538447531,0.0037985784321417043,-0.016860376082512108,-0.01841240501200581,-0.0020715578091576336,0.02929106195248087,-0.0060766071576630245,-0.04902374537139435,-0.014365585320800442,-0.017967533308191373,0.03917298146124019,-0.02085722593312094,-0.003519100071902782,0.01428497182443854,0.0025072267925408996,0.0006000399824961241,0.011889621590930285,0.027343995576728772,0.002441633161890773,0.022933422296129893,0.0054204118511338144,0.025583825624914607,0.01442406516920704,0.016587355894813707,0.02153727820732647,0.0007299995353227832,-0.006683686204415057,-0.0035569952121663785,0.007873885926959017,0.02115936606431188,0.019001229885245472,0.006909394506431908
mit_thr,3891,263.63424754872335,29.29195812447517,0.0016092230534279037,1,-0.001723370329447431,0.0008717736082475327,-0.013214425815790744,0.014440709778794804,0.044951131070717,-0.00561302376194443,0.0019836069499441036,0.004210782960944851,0.025446105411970267,0.020024490553326186,0.01685425795771896,0.04733862843986565,0.01671213150070464,-0.0009401847379213188,0.008522753748563731,-0.001758433226268042,0.008848401829708658,0.013741783787045115,0.011976306134040516,-0.009648350634439144,-0.006943604045574302,0.003641752563888643,0.03558244485700739,-0.0022978427879431712,-0.0294820787332241,0.0007691538616158701,-0.01771537971892227,0.04572117328726817,-0.007108788931330864,0.0077662346286516215,0.019855283505010715,0.00745470573512192,0.001870660483854098,0.019768490393658952,0.03691899004588054,0.009787632736040705,0.027243895215037242,0.007175189180199722,0.02437236189300639,0.012854793856253866,0.021484359640179158,0.023669196232546538,-0.0011994788059948049,-0.0072446505872884835,-0.0037143936732839116,0.009149051377573705,0.012308159077403322,0.018251809513338855,0.015054620734522031
