replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,system_rt_mean,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,processed_legal_share,processed_illegal_share,completed_legal_share,completed_illegal_share,completed_legal_of_completed_share,completed_illegal_of_completed_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
1,200.0,2.3199909777118206,0.9999960595492609,8.225,0.002145496573424141,0.2940094937346666,264.875,2.3141632358105695,54112,524,52975,45,transitory_x40,transitory,False,0.9007983441750443,0.09700251330573625,0.8819855115316381,0.09465552927261975,0.8615649024246008,0.0989892352588756,0.9010107647411244,2.8706288034758187,0.9998432053917683,5.685,2.222840232052623,0.9995910432742033,8.075,2.078291057671747,0.9993273632847516,8.555,2.372330745940035,0.9990945518508252,7.485
1,300.0,2.437238196165874,0.9999973730328406,7.55,0.0021321445747131767,0.2929713598625159,264.6566666666667,2.47283256674091,81148,793,79397,46,transitory_x40,transitory,False,0.9005520776852172,0.0971927835559718,0.8812663281904668,0.095134815399024,0.863952284714349,0.09919309246029706,0.9008069075397029,3.1404877765929564,0.9998954702611788,5.52,2.481448889180079,0.9997273621828022,7.173333333333333,2.374702550991418,0.9995515755231678,7.703333333333333,2.611440415174817,0.9993963679005501,6.57
1,400.0,2.4607668835496135,0.9999980297746305,7.135,0.0021166775462725675,0.2920182242788913,264.7475,2.5757296696692937,108145,1072,105899,46,transitory_x40,transitory,False,0.90056868093763,0.0973137916685931,0.8819270423967821,0.09551990383281705,0.8668269453049147,0.0992572521211073,0.9007427478788927,3.3358984969750356,0.9999216026958841,5.46,2.74698589710715,0.9997955216371017,6.6125,2.5142347238623772,0.9996636816423758,7.4875,2.9757047053986465,0.9995472759254126,6.0775
1,500.0,2.732154150478798,0.9999984238197044,7.012,0.002110469411852214,0.29017119795003554,263.65,2.6273304567914986,134634,1335,131825,47,transitory_x40,transitory,False,0.9002926452456289,0.09763506989319191,0.8815009581532154,0.09606785804477323,0.8678491317200707,0.0996640364936506,0.9003359635063494,3.394211982165697,0.9999372821567073,5.536,2.864008837034161,0.9998364173096813,6.776,2.6138701222014644,0.9997309453139006,7.354,2.975434608478993,0.99963782074033,6.382
1,600.0,2.7489474133072864,0.9999986865164203,6.9383333333333335,0.002116284136650395,0.2897648987841753,263.06333333333333,2.6746524405337477,161296,1578,157838,47,transitory_x40,transitory,False,0.9001463148497173,0.09768376153159408,0.88088359289753,0.09623921237972423,0.8680128459478227,0.09980711116826335,0.9001928888317366,3.39587275181924,0.9999477351305895,5.57,2.8252115437977916,0.9998636810914011,6.71,2.6664156069211153,0.9997757877615839,7.126666666666667,3.0199588206871475,0.9996981839502752,6.266666666666667
1,700.0,2.729513404029554,0.9999988741569317,6.952857142857143,0.0021126176726868223,0.2898670127781174,263.2257142857143,2.6816408340681095,188257,1841,184258,47,transitory_x40,transitory,False,0.9003383672320285,0.09751563022888923,0.8812421317666806,0.09620890591053718,0.8688070031924444,0.09969670448227841,0.9003032955177216,3.2852171093941718,0.9999552015405053,5.72,2.8751277197213345,0.999883155221201,6.654285714285714,2.7182265424289827,0.9998078180813577,7.021428571428571,2.9945058562275673,0.9997413005288073,6.387142857142857
1,800.0,2.8754019700118967,0.9999990148873152,6.76875,0.002113835930274839,0.2887484643061501,262.36125,2.714400414165137,214434,2099,209889,47,transitory_x40,transitory,False,0.9001790760793531,0.09766641484093008,0.881138252329388,0.09636997864144678,0.8696661909958309,0.09975814743834208,0.9002418525616579,3.29253050431554,0.9999608013479421,5.77375,2.913366419970371,0.9998977608185509,6.4525,2.7446066249505296,0.9998318408211879,7.11875,3.0110161612729844,0.9997736379627064,6.32625
1,900.0,2.8352289890111826,0.9999991243442802,6.87,0.002117929253399607,0.28903851269889896,262.4322222222222,2.7366637972578634,241283,2368,236189,47,transitory_x40,transitory,False,0.9001338676989261,0.09770269766208145,0.8811934533307361,0.09643033284566256,0.869481065802398,0.09983351783676167,0.9001664821632384,3.3214330716165503,0.9999651567537263,5.807777777777778,2.9728351157886745,0.9999091207276007,6.517777777777778,2.693409003079962,0.9998505251743893,7.137777777777778,3.0309232465169913,0.9997987893001834,6.381111111111111
1,1000.0,2.833763717852486,0.9999992119098522,6.789,0.0021198411453626506,0.2889007202968886,262.193,2.7441963751975122,267888,2669,262193,47,transitory_x40,transitory,False,0.9002792211670549,0.0974810368512214,0.8812600788389178,0.09625291166457624,0.8696619482768918,0.09964947808175238,0.9003505219182476,3.3420392785689543,0.9999686410783537,5.725,2.992485666743813,0.9999182086548407,6.519,2.7097037744138355,0.9998654726569504,7.07,3.083148009266415,0.9998189103701651,6.185
1,1100.0,2.87028449532465,0.999999283554411,6.788181818181818,0.0021200881923356396,0.2897296102263685,262.8872727272727,2.7625302802926943,295433,2938,289176,49,transitory_x40,transitory,False,0.9000145549075425,0.09780220896108424,0.8810187081334854,0.09659719801105496,0.8697268077702897,0.09996357063793418,0.9000364293620658,3.389180699939441,0.9999714918894124,5.765454545454546,2.971406723187013,0.9999256442316732,6.544545454545455,2.8196549153737855,0.9998777024154093,6.844545454545455,3.124986260955733,0.9998353730637863,6.223636363636364
