replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
1,12200.0,3.2113837088662893,0.9999999173864719,6.1494262295081965,0.002113776762725734,0.2860161129059359,260.0929508196721,3242401,31784,3173134,50,finite simulation,finite simulation,False,0.9000438255477962,3.1220921377908484,0.9999977760313956,6.326393442622951,3.13923697905871,0.9999759745972022,6.287377049180328,3.091801878118584,0.9999711570668891,6.369016393442623,3.0786178632349817,0.9999562819381435,6.408852459016393
1,12300.0,3.2146315282418456,0.9999999180581266,6.147235772357724,0.002113611079480243,0.28600709646593053,260.0965040650407,3269040,32074,3199187,50,finite simulation,finite simulation,False,0.9000682157452953,3.118518126832806,0.9999977941124412,6.337073170731707,3.145106857681209,0.9999761699256802,6.276341463414634,3.098795252100932,0.9999713915622802,6.36170731707317,3.0744180072930787,0.9999566373695407,6.405040650406504
1,12400.0,3.2129122113667097,0.9999999187189481,6.143387096774194,0.0021136219124890825,0.2860136503866243,260.0953225806452,3295597,32339,3225182,50,finite simulation,finite simulation,False,0.9000648440934981,3.119072296605281,0.999997811901857,6.330483870967742,3.142115463459101,0.9999763621036989,6.2804032258064515,3.0987137087090857,0.9999716222754876,6.364354838709677,3.0756840305812627,0.9999569870681734,6.410887096774194
1,12500.0,3.2159613415229553,0.9999999193691966,6.14272,0.002113814214070411,0.28603004155967154,260.10504,3322360,32588,3251313,50,finite simulation,finite simulation,False,0.9000535763734213,3.1198901591179986,0.9999978294066422,6.3292,3.138043040628283,0.9999765512068693,6.29224,3.088374477286313,0.9999718492972838,6.37576,3.070939508608075,0.999957331171628,6.41032
1,12600.0,3.2135234790254437,0.9999999200091236,6.147142857142857,0.002113918272109957,0.28597612684389484,260.04563492063494,3348175,32848,3276575,50,finite simulation,finite simulation,False,0.9000736221971671,3.1234511660237234,0.9999978466335735,6.321269841269841,3.138119384400925,0.9999767373084021,6.279761904761905,3.0931377764109733,0.9999720727155593,6.36968253968254,3.0729568954827235,0.9999576698131231,6.407063492063492
1,12700.0,3.209221863956024,0.999999920638973,6.152677165354331,0.00211370343618163,0.2860021410289173,260.07173228346454,3375076,33095,3302911,50,finite simulation,finite simulation,False,0.9000641763326218,3.125149449040964,0.9999978635892147,6.325748031496063,3.14334538801765,0.9999769204792021,6.285433070866142,3.0974468360412923,0.9999722926154367,6.366771653543307,3.077149773276013,0.9999580031216811,6.390944881889764
1,12800.0,3.207488581494094,0.9999999212589811,6.166953125,0.0021139564128068865,0.28597761556328083,260.0546875,3401483,33313,3328700,50,finite simulation,finite simulation,False,0.9000659418259623,3.1188221219227095,0.999997880279924,6.333125,3.1340630998803296,0.9999771007879583,6.30375,3.096299877305579,0.9999725090793787,6.36640625,3.0853124572606307,0.999958331222293,6.3859375
1,12900.0,3.200874103360069,0.9999999218693765,6.1758139534883725,0.0021141039344031894,0.28593904357421296,260.0118604651163,3427507,33574,3354153,50,finite simulation,finite simulation,False,0.9000565133783825,3.1188536792501917,0.9999978967118626,6.328837209302326,3.1293518770879065,0.99997727830123,6.305193798449612,3.0961898364847653,0.9999727221872905,6.368759689922481,3.083133668014193,0.9999586542360737,6.391472868217054
1,13000.0,3.194862922800645,0.9999999224703813,6.19,0.0021138136314996416,0.2858957838984201,259.97923076923075,3453590,33837,3379730,50,finite simulation,finite simulation,False,0.9000715197808657,3.1232542038460007,0.999997912891002,6.328692307692307,3.1301179077008396,0.9999774530835283,6.308230769230769,3.0962042725612466,0.999972932016619,6.368307692307693,3.081147446187993,0.9999589722804115,6.394076923076923
1,13100.0,3.1904991191689613,0.9999999230622105,6.193358778625954,0.0021139252600338864,0.28601412700850365,260.0720610687023,3481381,34117,3406944,50,finite simulation,finite simulation,False,0.9000617858257973,3.1203888477167627,0.9999979288231318,6.331679389312977,3.1290350233221678,0.9999776251973944,6.312137404580152,3.1000419459823014,0.9999731386424463,6.351526717557252,3.081977841364704,0.9999592854691107,6.3877862595419845
