scenario,ARRIVAL_P,ARRIVAL_L1,ARRIVAL_L2,total_time,total_arrivals,web_util_bm,web_rt_mean_bm,web_throughput_bm,mit_util_bm,mit_rt_mean_bm,mit_throughput_bm,drop_fp_rate,drop_full_rate,spikes_count,spike0_util_bm,spike0_rt_mean_bm,spike0_throughput_bm,spike0_completions,spike1_util_bm,spike1_rt_mean_bm,spike1_throughput_bm,spike1_completions,spike2_util_bm,spike2_rt_mean_bm,spike2_throughput_bm,spike2_completions,spike3_util_bm,spike3_rt_mean_bm,spike3_throughput_bm,spike3_completions
x1,0.03033,0.4044,12.9289,148629.9190079716,1000000,0.9017629398539585,1.6687503287841263,5.644986979166667,0.007346427526366432,0.0011175562330061487,6.665690104166666,0.009972,0.0,2,0.15314895024205127,0.4161305717788653,0.95390625,150480,0.00011375461931605694,,0.00032552083333333337,46,,,,,,,,
x2,0.03033,0.8088,25.8578,75497.94179359676,1000000,0.995495539809006,2.448566261567958,6.196614583333333,0.014513671458381405,0.0011307251115986884,13.195882161458332,0.00986,0.0,3,0.8549141060713916,1.5765842256113836,5.378645833333334,406445,0.23226735193078746,0.6930184403019648,1.4648274739583333,113356,0.004210523820518979,0.397783763234851,0.02444661458333333,2055,,,,
x5,0.03033,2.022,64.6445,30243.971730443624,1000000,0.999769933891889,2.889800312750591,6.300694444444445,0.03636782778156748,0.0011811240220418228,33.06878306878306,0.009911,0.0,8,0.9999072775267968,2.8157115443572165,6.21117724867725,187828,0.9987401524124968,2.6068813157704325,6.18422619047619,187012,0.9782195592032529,2.1552777673574335,6.131514550264551,185417,0.8069614327383909,1.5888473427521783,4.976686507936509,150496
x10,0.03033,4.044,129.289,15021.061301279007,1000000,0.9999999023996117,3.0825414859141826,6.209408602150537,0.07355543112966628,0.0012792721904985717,66.77029569892473,0.009964,4.7e-05,15,0.9999714265512207,2.9733181214632136,6.368279569892473,95482,0.9999541775418384,2.9449995122576964,6.351680107526881,95139,0.9999314920449156,2.90476879145319,6.330241935483872,94692,0.999919852436814,2.898783585222686,6.206787634408602,92997
x40,0.03033,16.176,517.156,3796.1672655246684,1000000,0.9999927342510532,3.1689752516466854,6.195000000000001,0.2873597416911712,0.002120375165444526,261.0086111111112,0.009667,0.021706,49,0.9999431258327968,3.3312092275629945,5.918888888888889,22280,0.99992795963716,3.168684579759962,6.200833333333334,23191,0.9999200332975015,3.082455474793262,6.383333333333334,23688,0.999902983475177,3.1072914997435332,6.326388888888888,23628
