replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,system_rt_mean,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,processed_legal_share,processed_illegal_share,completed_legal_share,completed_illegal_share,completed_legal_of_completed_share,completed_illegal_of_completed_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
0,8000.0,3.203180369005526,0.9999999657662122,6.153375,0.002114974495396397,0.2867174635327463,260.7325,2.8327319621621587,2131567,20886,2085860,53,transitory_x40,transitory,False,0.9002386507203386,0.09760847301539197,0.8809490858133946,0.09657918329566934,0.8718736028471074,0.09972523666366002,0.9002747633363399,3.14228732147803,0.999992309497588,6.278625,3.159750822976482,0.9999757679926736,6.22525,3.159131076154482,0.9999695511428497,6.229,3.1022806218365124,0.999947540370967,6.340875
0,9000.0,3.2262541961670115,0.9999999695699664,6.128222222222222,0.0021149054446751967,0.2866633127509312,260.60077777777775,2.8372662163187568,2396801,23502,2345407,53,transitory_x40,transitory,False,0.9001823680814552,0.0976630934316199,0.880894575728231,0.0966287981355148,0.8718237350535151,0.09977649376095345,0.9002235062390466,3.147183309615729,0.999993163997856,6.264333333333333,3.1722842357241308,0.999978460437932,6.231333333333334,3.157744347943261,0.9999729343491998,6.2396666666666665,3.0916225642608994,0.9999533692186374,6.377666666666666
0,10000.0,3.2005207260171558,0.9999999726129698,6.1738,0.0021161769095721927,0.2873611179515136,261.1684,2.8368744734907567,2669043,26189,2611684,53,transitory_x40,transitory,False,0.9001076415778989,0.0977447721898823,0.880765128175155,0.09670844568633777,0.8716637386508947,0.09986702143094535,0.9001329785690546,3.163819031728746,0.9999938475980703,6.2494,3.1570169585869756,0.9999806143941389,6.2524,3.1542064051500596,0.9999756409142797,6.2412,3.1053882543896005,0.9999580322967737,6.3454
0,11000.0,3.2223035416281354,0.9999999751026998,6.138181818181818,0.002116368869443295,0.28737394504834995,261.2180909090909,2.842770961965574,2936515,28873,2873399,53,transitory_x40,transitory,False,0.9002402507734508,0.09761230574337267,0.8808941892004638,0.09658557848333825,0.8718354920713839,0.09973510637063376,0.9002648936293662,3.15431924984981,0.9999944069073367,6.250727272727273,3.1573270064370944,0.9999823767219445,6.249454545454546,3.150773481806165,0.999977855376618,6.266181818181818,3.117249714318352,0.9999618475425215,6.313727272727273
0,12000.0,3.209893861740022,0.9999999771774748,6.157583333333333,0.002115065838849674,0.2874215783935382,261.36125,2.844045376660373,3205163,31528,3136335,53,transitory_x40,transitory,False,0.9001729397225664,0.09769425143120647,0.8808316456916544,0.09667433450342464,0.8717912318343872,0.09982217010460392,0.9001778298953961,3.1724650792184916,0.999994872998392,6.226,3.162695636667432,0.9999838453284491,6.24825,3.139678564542357,0.9999797007618998,6.283916666666666,3.11197823028617,0.999965026913978,6.337
0,13000.0,3.2205941811981846,0.9999999789330537,6.131384615384615,0.0021138926247761406,0.2873938150417082,261.3933846153846,2.840790040248981,3472460,34150,3398114,53,transitory_x40,transitory,False,0.9002329760458004,0.09763683382961935,0.8809541362607488,0.09661536777961445,0.8719320020964965,0.0997528575106995,0.9002471424893005,3.1796943222434115,0.999995267383131,6.210307692307692,3.151116827823714,0.9999850879954915,6.265538461538462,3.1237531057465917,0.9999812622417537,6.314076923076923,3.112963485280823,0.9999677171513643,6.330384615384616
0,14000.0,3.2245528763006965,0.9999999804378356,6.1313571428571425,0.002114958765515426,0.2872156715944236,261.1475,2.8387876217052073,3736009,36733,3656065,53,transitory_x40,transitory,False,0.9002416750066715,0.09763306244711938,0.8809687021631907,0.0966116516314602,0.8719299123744081,0.09974961862439477,0.9002503813756052,3.176715098141274,0.9999956054271931,6.222142857142857,3.150052707682554,0.9999861531386706,6.267142857142857,3.1110773947426593,0.999982600653057,6.337642857142857,3.11460647786871,0.9999700230691241,6.332285714285714
0,15000.0,3.23094586029756,0.9999999817419798,6.121733333333333,0.0021139638392869216,0.28702999531418427,261.03186666666664,2.839514380382699,4001053,39279,3915478,53,transitory_x40,transitory,False,0.9001672809632865,0.09771252717722059,0.8808998531136678,0.09669954384508278,0.8719079702268377,0.099833567714717,0.900166432285283,3.1789501721811075,0.9999958983987136,6.2144,3.1430307243142193,0.9999870762627593,6.281666666666666,3.1058940490454794,0.9999837606095199,6.345266666666666,3.1097273395377707,0.9999720215311825,6.343466666666667
0,16000.0,3.2145079785198005,0.9999999828831061,6.1490625,0.0021127975954522414,0.2869650421881454,261.046,2.840437055419481,4268068,41836,4176736,53,transitory_x40,transitory,False,0.9001522468714181,0.09772501281610321,0.8808760778881686,0.09670909648112448,0.8719263610607891,0.0998405496393258,0.9001594503606742,3.171599323459196,0.999996154748794,6.225375,3.138588245014669,0.9999878839963368,6.294875,3.1114602723967875,0.9999847755714248,6.3411875,3.107796207357342,0.9999737701854835,6.3476875
0,17000.0,3.2105788438036154,0.9999999838899823,6.162,0.0021124614986945322,0.2868334658214194,260.9596470588235,2.8434494561697714,4533395,44374,4436314,53,transitory_x40,transitory,False,0.9002030487085286,0.09768352415794344,0.8809018406734909,0.09667015558979529,0.8719954912378031,0.09979723747444974,0.9002027625255503,3.1725366618089232,0.9999963809400414,6.228294117647059,3.132628960333366,0.9999885967024346,6.307529411764706,3.129658048541653,0.999985671126047,6.309058823529412,3.1158940530929136,0.9999753131157492,6.326823529411764
