replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,analysis_rt_mean,analysis_util,analysis_throughput,system_rt_mean,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,processed_legal_share,processed_illegal_share,completed_legal_share,completed_illegal_share,completed_legal_of_completed_share,completed_illegal_of_completed_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
0,100.0,2.145408429562542,0.9999767269544797,7.56,0.002509669033635925,0.30397581819206804,275.79,,,,1.8235549121876624,27019,277,27579,44,finite simulation,finite simulation,False,0.9045486509493319,0.09704282171805026,0.9236833339501832,0.09212035974684481,0.8742366482845405,0.09532746074301034,0.9046725392569896,1.8901508384640398,0.9994784269659065,7.29,1.9522086416255138,0.9987581212552782,8.83,2.0070533768110934,0.9983423225751201,7.52,2.025948334349596,0.9980416137636848,8.27
0,200.0,2.4208078247428233,0.99998836347724,7.05,0.002494261835367227,0.2998899795348958,272.03,,,,2.207917495630814,53344,526,54406,45,finite simulation,finite simulation,False,0.9033068386322736,0.09847405518896221,0.9214532093581284,0.0943873725254949,0.8815236952609478,0.09671718626942508,0.903282813730575,2.475770179003239,0.9997392134829532,7.07,2.0898093844601258,0.9993790606276391,7.9,2.4206058680493823,0.9991711612875601,7.325,2.3661420961838524,0.9990208068818425,7.225
0,300.0,2.434511437660739,0.99999224231816,7.22,0.0024760100825308115,0.2944721727971309,267.8233333333333,,,,2.41609137188507,78779,792,80347,45,finite simulation,finite simulation,False,0.9020931974257099,0.09967123218116503,0.9202833242361543,0.09581233577476231,0.8827479404409805,0.09791153197561292,0.902088468024387,2.8525251308809203,0.9998261423219689,6.34,2.4479679387337923,0.9995860404184261,7.093333333333334,2.56542779661373,0.9994474408583733,7.046666666666667,2.714319181924658,0.9993472045878949,6.71
0,400.0,2.5964875727207817,0.99999418173862,7.405,0.0024558078985968753,0.2946090466885283,268.275,,,,2.525017060728626,105210,1066,107310,50,finite simulation,finite simulation,False,0.9011405759908754,0.10076038399391693,0.9192187054462504,0.09706301682349587,0.8855431993156544,0.0987811955890888,0.9012188044109112,2.8798501806005636,0.9998696067414766,6.2775,2.5840185067093753,0.9996895303138196,6.7325,2.738184523484082,0.99958558064378,6.85,2.881238628945936,0.9995104034409212,6.2475
0,500.0,2.57179745332371,0.999995345390896,7.396,0.0024455596172306723,0.29355375760427127,267.516,,,,2.5983056355588503,131150,1326,133758,50,finite simulation,finite simulation,False,0.9005566145634769,0.10134959969500572,0.9185436523065192,0.09777354174609226,0.886923370186809,0.09929303175549585,0.9007069682445041,2.898304241943215,0.9998956853931813,6.626,2.691734049627362,0.9997516242510557,6.674,2.7885426486063283,0.999668464515024,6.786,2.989346540187059,0.9996083227527369,6.148
0,600.0,2.6132155896536338,0.9999961211590799,7.131666666666667,0.0024482262043208124,0.29394685154705674,267.7866666666667,,,,2.623694727618331,157503,1551,160672,50,finite simulation,finite simulation,False,0.9004780861316928,0.10143933766340958,0.9186809140143363,0.09783305714811781,0.8872084976159185,0.09931871064216517,0.9006812893578349,2.966735007955619,0.9999130711609845,6.463333333333333,2.939831965065443,0.9997930202092129,6.543333333333333,2.727164725635038,0.9997237204291867,6.816666666666666,3.100290497715729,0.9996736022939475,5.968333333333334
0,700.0,2.7391961650795533,0.9999966752792113,6.792857142857143,0.002443522043758474,0.2952554337042969,268.94428571428574,,,,2.6577468119647065,184597,1880,188261,50,finite simulation,finite simulation,False,0.9004263341224397,0.10147510522922908,0.9183735380314957,0.09811643742856059,0.8878204954576726,0.09951593672562238,0.9004840632743776,2.903548710778031,0.9999254895665581,6.518571428571429,2.9181550025855474,0.9998225887507539,6.534285714285715,2.8273925081390763,0.9997631889393028,6.751428571428572,3.1116012603200174,0.9997202305376692,5.958571428571428
0,800.0,2.8805253586576995,0.9999970908693099,6.565,0.002452376340674617,0.29609530865231465,269.3575,,,,2.689431018183584,211286,2137,215486,50,finite simulation,finite simulation,False,0.9001826907603911,0.101715210662325,0.9181630586030309,0.09842583039103395,0.8880332819022557,0.09977689816480749,0.9002231018351925,2.99416380876363,0.9999348033707384,6.43125,2.9148879280457227,0.9998447651569097,6.5425,2.834591462439602,0.99979279032189,6.62,3.1863445403979913,0.9997552017204606,6.01625
0,900.0,2.964297651123642,0.9999974141060533,6.543333333333333,0.002452239310515114,0.29681852476418485,270.1044444444444,,,,2.7057293848325426,238373,2431,243094,50,finite simulation,finite simulation,False,0.9000138438497649,0.10188653916341196,0.9179185562123227,0.09866050265759964,0.8886618870425761,0.09992734256493492,0.900072657435065,3.0206717036584956,0.9999420474406563,6.294444444444444,2.988942461371215,0.9998620134728087,6.454444444444444,2.876515052286678,0.9998158136194578,6.394444444444445,3.103259090156316,0.9997824015292983,6.131111111111111
0,1000.0,2.9796982920412174,0.9999976726954479,6.571,0.002450693958356188,0.2969797728246193,270.519,,,,2.71089107355149,265263,2691,270519,50,finite simulation,finite simulation,False,0.8998352578384471,0.10209490204061629,0.9177269351549218,0.09887545567983473,0.8880884254494595,0.10018143274574588,0.8998185672542541,3.047709750108589,0.9999478426965906,6.312,2.919699507020731,0.9998758121255278,6.678,3.0755730343113705,0.999834232257512,6.155,3.127296641100136,0.9998041613763685,6.1
0,1100.0,2.9302681576502843,0.9999978842685892,6.666363636363636,0.002455243068877796,0.2971115196712869,270.47,,,,2.722949593073405,291713,2982,297517,50,finite simulation,finite simulation,False,0.8997713506083034,0.10218605272990919,0.9177136432041082,0.09899113169450796,0.8879926503104079,0.10029661429027911,0.8997033857097209,3.0885461312341964,0.9999525842696279,6.264545454545455,2.8525397228236002,0.999887101932298,6.798181818181818,3.0897398892977415,0.9998493020522836,6.170909090909091,3.147738156890809,0.9998219648876077,6.197272727272727
0,1200.0,2.9145430633896368,0.99999806057954,6.6025,0.002457341084397681,0.29697799147574133,270.2058333333333,,,,2.7231366858841706,317901,3247,324247,50,finite simulation,finite simulation,False,0.8997266444584949,0.10225825020997104,0.917703939276693,0.09899308275217757,0.8885124614266706,0.10024559693433865,0.8997544030656613,3.11776473784171,0.9999565355804922,6.276666666666666,2.889465610939975,0.9998965101046065,6.623333333333333,3.137156793453146,0.9998618602145933,6.069166666666667,3.0889954451869626,0.9998368011469737,6.295
0,1300.0,2.92391907259167,0.9999982097657293,6.643076923076923,0.0024559012259329606,0.2968335526386772,270.06615384615384,,,,2.72095133087276,344176,3515,351086,50,finite simulation,finite simulation,False,0.8997751150574125,0.10222095671981776,0.9178559806610571,0.09900167356236345,0.8887255357723955,0.10023179743022545,0.8997682025697745,3.060940384094327,0.9999598789973775,6.334615384615384,2.916160096373824,0.9999044708657906,6.605384615384615,3.208430693069614,0.9998724863519323,6.0892307692307694,3.0581885238455797,0.9998493549048988,6.32923076923077
0,1400.0,2.93323770658144,0.9999983376396058,6.547142857142857,0.0024571105207512526,0.2974073441940024,270.48857142857145,,,,2.7243496147842365,371208,3802,378684,50,finite simulation,finite simulation,False,0.8999375013469537,0.10207215361737894,0.91806749854529,0.09874787181310747,0.8888197452641107,0.09999099819145482,0.9000090018085452,3.0331407553463654,0.9999627447832791,6.365714285714286,2.937672088872964,0.999911294375377,6.57,3.172244688161607,0.9998815944696514,6.131428571428572,3.095277232233071,0.9998601152688347,6.307142857142857
0,1500.0,3.001720943840934,0.9999984484636321,6.411333333333333,0.0024547362731643547,0.29761243712573454,270.6286666666667,,,,2.747078733597003,397926,4098,405943,50,finite simulation,finite simulation,False,0.9002126023431493,0.10177771746505632,0.9183692445329031,0.09859370837793961,0.8893889818710011,0.09979295118328145,0.9002070488167185,3.0605552420515836,0.9999652284643937,6.236666666666666,2.9620214698791716,0.9999172080836852,6.558,3.1721978484627082,0.9998894881716747,6.164,3.055183274270413,0.999869440917579,6.276666666666666
0,1600.0,3.0574856839338604,0.999998545434655,6.350625,0.0024608071536623443,0.29817195162031185,271.025625,,,,2.7573458947693905,425034,4365,433641,50,finite simulation,finite simulation,False,0.900036232395526,0.10199419340570401,0.9182559512886028,0.09876621634975084,0.8892959151503174,0.09995951995428136,0.9000404800457187,3.130581504535957,0.9999674016853691,6.183125,2.9937060936743025,0.9999223825784549,6.503125,3.1232143380335686,0.999896395160945,6.216875,3.115574345776834,0.9998776008602303,6.20625
0,1700.0,3.0861015845199593,0.9999986309973223,6.300588235294118,0.0024578233187356794,0.29806752695152533,271.0605882352941,,,,2.765048710610009,451668,4642,460803,50,finite simulation,finite simulation,False,0.9000084132592967,0.10202848109673476,0.9182009794805034,0.09876280808027135,0.8891220985325504,0.09997400245631964,0.9000259975436804,3.1509895186169805,0.9999693192332886,6.1511764705882355,3.0162359288392597,0.999926948309134,6.435294117647059,3.121954825509431,0.9999024895632423,6.224705882352941,3.1428458298525785,0.9998848008096285,6.195882352941177
0,1800.0,3.0983752127288238,0.9999987070530267,6.299444444444444,0.002458884067246771,0.2982215595533075,271.1816666666667,,,,2.770123374947632,478459,4923,488127,50,finite simulation,finite simulation,False,0.8999329096118999,0.10214041328515087,0.9180661247881219,0.09888621595580813,0.8891608267375052,0.10008249777890595,0.899917502221094,3.1646438064063487,0.9999710237203282,6.150555555555556,3.02197612118632,0.9999310067364043,6.45,3.109398739020756,0.9999079068097289,6.27,3.0920870123230006,0.9998912007646492,6.261111111111111
0,1900.0,3.082717620649066,0.9999987751028674,6.312631578947369,0.0024633451143134806,0.29781400358462884,270.6147368421053,,,,2.775099955197703,503991,5204,514168,50,finite simulation,finite simulation,False,0.899918847757202,0.10215460196709862,0.9180421872612805,0.09889859144310116,0.8892321489867875,0.10008654462067955,0.8999134553793204,3.1803754625547813,0.9999725487876793,6.113157894736842,3.0064415303932646,0.9999346379608041,6.474210526315789,3.1210095568484735,0.9999127538197432,6.2105263157894735,3.124527111453672,0.999896927040194,6.259473684210526
0,2000.0,3.069550847699101,0.999998836347724,6.3235,0.00246332957568018,0.29718518602838195,270.218,,,,2.7821781328704107,529754,5463,540436,50,finite simulation,finite simulation,False,0.8999479003461984,0.10211343378247262,0.91805064237363,0.09888929578634612,0.8893750684279873,0.10006360581964599,0.899936394180354,3.1949430101191494,0.9999739213482953,6.1075,2.9873357641379736,0.9999379060627639,6.5225,3.1134399160897486,0.999917116128756,6.159,3.1258601545317495,0.9999020806881842,6.249
0,2100.0,3.0806991173968354,0.9999988917597371,6.310952380952381,0.002468628939086526,0.2976092176431873,270.5042857142857,,,,2.7875347179598466,556853,5754,568059,50,finite simulation,finite simulation,False,0.8999107484380977,0.10216161177186799,0.9179621910989076,0.09892018180740698,0.8890892210331991,0.10012068865235851,0.8998793113476414,3.1864258205378277,0.9999751631888527,6.128095238095238,3.0085524551694154,0.999940862916918,6.529047619047619,3.162631279624834,0.9999210629797677,6.071428571428571,3.134492711706998,0.9999067435125564,6.2195238095238095
0,2200.0,3.123355670310779,0.9999989421342944,6.203181818181818,0.0024690092611774177,0.2977570426978432,270.70272727272726,,,,2.7968607768181655,583800,6055,595546,51,finite simulation,finite simulation,False,0.8998321342925659,0.10224734498115794,0.9178725590955806,0.09904076738609113,0.8894450154162384,0.10019442778965755,0.8998055722103424,3.1901669204502623,0.999976292134814,6.136363636363637,2.99677023167847,0.999943550966149,6.4795454545454545,3.215059491700756,0.9999246510261419,6.042727272727273,3.1364213451252048,0.9999109824438038,6.214090909090909
0,2300.0,3.1816950732649065,0.9999989881284556,6.171304347826087,0.0024685770712875575,0.2976463468490464,270.6704347826087,,,,2.798224698312989,610244,6333,622542,51,finite simulation,finite simulation,False,0.8998040128211011,0.10227876062689678,0.9178738340729282,0.09903415682907166,0.8893344301623612,0.10019961999250596,0.8998003800074941,3.172531004272012,0.9999773229115612,6.200869565217391,3.0305526111480154,0.9999460052719686,6.460434782608695,3.2054004403140586,0.9999279270684835,6.092608695652174,3.1520673222823277,0.9999148527723342,6.16695652173913
0,2400.0,3.1330937254592883,0.9999990302897699,6.279583333333333,0.0024696284713644277,0.29767599919623144,270.6591666666667,,,,2.801850685738291,636757,6584,649582,51,finite simulation,finite simulation,False,0.8998236375885934,0.1022383735082614,0.917904318287824,0.09901265317852807,0.8894491933343489,0.10016841168713557,0.8998315883128645,3.1589242354156,0.9999782677902461,6.196666666666666,3.0351440006467905,0.9999482550523032,6.417083333333333,3.201250497586189,0.9999309301072967,6.13625,3.16004998598099,0.9999184005734869,6.1970833333333335
0,2500.0,3.117450794496482,0.9999990690781791,6.2848,0.002467723731204727,0.29742016268091037,270.4024,,,,2.8041975104779486,662683,6856,676006,51,finite simulation,finite simulation,False,0.8997469378269851,0.1023309787636019,0.9177736564843221,0.09909715505000129,0.8893151023943575,0.10025892971645975,0.8997410702835402,3.181294539990417,0.9999791370786363,6.1824,3.0749382755385897,0.9999503248502111,6.368,3.1928422601709268,0.9999336929030049,6.1276,3.133292002997924,0.9999216645505474,6.2556
0,2600.0,3.1106933471460696,0.9999991048828646,6.325769230769231,0.002468666486134769,0.29768463267798684,270.59423076923076,,,,2.800394685354333,689678,7101,703545,51,finite simulation,finite simulation,False,0.8997720675445643,0.10231586334492328,0.9177906211304406,0.09907377065819122,0.8895020574818974,0.10021868615237042,0.8997813138476296,3.188407946927915,0.9999799394986887,6.163076923076923,3.0679150044169887,0.9999522354328952,6.391153846153846,3.1862858906902596,0.9999362431759662,6.124615384615384,3.127093894776717,0.9999246774524494,6.248076923076923
0,2700.0,3.07815725804425,0.999999138035351,6.3896296296296295,0.002470710888988385,0.2978227319226802,270.67925925925925,,,,2.8022254481140085,716408,7380,730834,51,finite simulation,finite simulation,False,0.899761030027582,0.10232576967314715,0.9178108005494076,0.0991139127424596,0.8896564527475963,0.10023956643698217,0.8997604335630178,3.181805468629246,0.9999806824802188,6.155925925925926,3.0744267010428707,0.9999540044909362,6.377777777777778,3.2115244551021354,0.9999386045398193,6.117037037037037,3.141451343472334,0.9999274671764328,6.227407407407408
0,2800.0,3.056548948457514,0.9999991688198028,6.4475,0.0024712220727478884,0.297768565011705,270.64464285714286,,,,2.804848503949659,742799,7628,757805,51,finite simulation,finite simulation,False,0.899768308788784,0.1023251242933822,0.9178768415143262,0.09910352598751479,0.8896955973284832,0.10022614669718263,0.8997738533028173,3.176258248701603,0.9999813723916395,6.176071428571428,3.0829895160179133,0.9999556471876885,6.352857142857143,3.1875732103208954,0.9999407972348258,6.163214285714286,3.142575114445745,0.9999300576344173,6.199642857142857
